
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2024-10-14 15:37:39 /login ....................................... ~ 0.10ms
  2024-10-14 15:37:39 /build/assets/app-DaN8u4V-.css ............... ~ 0.11ms
  2024-10-14 15:37:39 /build/assets/app-DLXkxiZ3.js ................ ~ 0.12ms
  2024-10-14 15:37:39 /favicon.ico ................................. ~ 0.05ms
  2024-10-14 15:37:45 /favicon.ico ................................. ~ 0.27ms
  2024-10-14 15:37:50 /favicon.ico ................................. ~ 0.39ms
  2024-10-14 15:37:50 /favicon.ico ................................. ~ 0.25ms
  2024-10-14 15:37:53 /register .................................... ~ 0.34ms
  2024-10-14 15:37:53 /build/assets/app-DaN8u4V-.css ............... ~ 0.08ms
  2024-10-14 15:37:53 /build/assets/app-DLXkxiZ3.js ................ ~ 0.40ms
  2024-10-14 15:37:53 /favicon.ico ................................. ~ 0.04ms
  2024-10-14 15:38:17 /register ........................................ ~ 2s
  2024-10-14 15:38:19 /dashboard ................................... ~ 0.05ms
  2024-10-14 15:38:19 /verify-email ................................ ~ 0.05ms
  2024-10-14 15:38:19 /build/assets/app-DaN8u4V-.css ............... ~ 0.09ms
  2024-10-14 15:38:19 /build/assets/app-DLXkxiZ3.js ................ ~ 0.04ms
  2024-10-14 15:38:19 /favicon.ico ................................. ~ 0.10ms
  2024-10-14 15:41:37 /verify-email/4/aa48679e45be5ead70824c3391532938053c2ed3  ~ 0.93ms
  2024-10-14 15:41:37 /dashboard ................................. ~ 501.35ms
  2024-10-14 15:41:37 /build/assets/app-DaN8u4V-.css ............... ~ 0.09ms
  2024-10-14 15:41:37 /build/assets/app-DLXkxiZ3.js ................ ~ 0.33ms
  2024-10-14 15:41:37 /favicon.ico ................................. ~ 0.08ms
  2024-10-14 15:41:41 /profile ................................... ~ 501.12ms
  2024-10-14 15:41:41 /build/assets/app-DaN8u4V-.css ............... ~ 0.10ms
  2024-10-14 15:41:41 /build/assets/app-DLXkxiZ3.js ................ ~ 0.43ms
  2024-10-14 15:41:41 /favicon.ico ................................. ~ 0.05ms
  2024-10-14 15:56:08 /logout ...................................... ~ 2.22ms
  2024-10-14 15:56:08 / .......................................... ~ 500.79ms
  2024-10-14 15:56:08 /favicon.ico ................................. ~ 0.10ms
